,message,message_type,file,desc,data
0,CHECK,FIRST CHAR,US4631438-0.csv,Commissariat a l'Energie Atomique is the assignee_organization which has mismatching first characters,"[""Le Commissariate a l'Energie Atomique"", ""Le Commissariat a l'Energie Atomique"", ""Le Commissariat A L'Energie Atomique"", ""Le Commissariat a l'Energie Atomique et aux Energies Altenatives"", ""The Commissariat a l'energie Atomique et aux Energies Alternatives (CEA)"", ""The Commissariat a L'Energie Atomique et Aux Energies Alternatives (CEA)"", ""The Commissariat a L'energie Atomique et Aux Energies Alternatives"", ""The Commissariat a l'Energie Atomique et aux Energies Alternatives (CEA)"", ""The Commissariat a L'energie Atomique et Aux Energies Alternatives (CEA)"", ""The Commissariat a L'energie Atomique et Aux Energies Alternatives (CEA)"", ""A L'Energie Atomique"", ""1). COMMISSARIAT A L'ENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES"", ""The Commissariat a L'energie Atomique et Aux Energies Alernatives (CEA)""]"
1,CHECK,FIRST CHAR,US11331519-0.csv,Deutsches Krebsforschungszentrum is the assignee_organization which has mismatching first characters,"[""Krebsforschungszentrum"", ""Stiftung Deutsches Krebsforschungs Zentrum"", ""Stiftung Deutches Krebsforschungszentrum"", ""Stiftung Deutsches Krebsforshungszentrum"", ""Stiftung Deutsches Krebsforschungszentrum"", ""Stiftung Deutsches Krebsforschungszentrum""]"
2,CHECK,FIRST CHAR,US9501839-0.csv,The Boeing Company is the assignee_organization which has mismatching first characters,"[""Boeing Canada Ltd."", ""Boeing of Canada Ltd."", ""Boeing of Canada Ltd."", ""HE Boeing Company"", ""Boeing Commercial Airplane Group"", ""Boeing Commercial Airplane Company"", ""Boeing Commercial Airplane Company"", ""Boeing Commercial Airplane Company"", ""Boeing Commercial Airplane Company"", ""Boeing Commercial Airplane Group"", ""Boeing Commercial Airplane Company"", ""Boeing Commercial Airplane Company"", ""Boeing Commercial Airplane Company"", ""Boeing Commercial Airplane Company"", ""Boeing Commercial Airplane Company"", ""Boeing Commercial Airplane Company"", ""Boeing Commercial Airplane Company"", ""Boeing Commercial Airplane Company"", ""Boeing Commercial Airplane Company"", ""Boeing Commercial Airplane Company"", ""Boeing Commercial Airplane Company"", ""Boeing Commercial Airplane Company"", ""Boeing Commercial Airplane Company"", ""Boeing Commercial Airplane Company"", ""Boeing Commercial Airplane Company"", ""Boeing Commercial Airplane Company"", ""Boeing Commercial Airplane Company"", ""Boeing Commercial Airplane Company"", ""Boeing Commercial Airplane Company"", ""Boeing Commercial Airplane Company"", ""Boeing Commercial Airplane Company"", ""Boeing Commercial Airplane Company"", ""Boeing Commercial Airplane Company"", ""Boeing Commercial Airplane Company"", ""Boeing Commercial Airplane Company"", ""Boeing Commercial Airplane Company"", ""Boeing Commercial Airplane Company"", ""Boeing Commercial Airplane Company"", ""Boeing Commercial Airplane Company"", ""Boeing Commercial Airplane Company"", ""Boeing Commercial Airplane Company"", ""Boeing Wichita Company"", ""R The Boeing Company"", ""Aurora Flight Services Corp., a subsidiary of The Boeing Company"", ""Aurora Flight Services Corporation, a subsidiary of The Boeing Company"", ""Boeing Defense and Space Group"", ""Boeing North American Inc."", ""Boeing North American, Inc."", ""Boeing North American, Inc."", ""Boeing North American, Inc."", ""Boeing North American, Inc."", ""Boeing North American, Inc."", ""Boeing North American, Inc."", ""Boeing North American, Inc."", ""Boeing North American, Inc."", ""Boeing North American, Inc."", ""Boeing North American, Inc."", ""Boeing North American, Inc."", ""Boeing North American"", ""Boeing North American, Inc."", ""Boeing North American, Inc."", ""Boeing North American, Inc."", ""Boeing North American, Inc."", ""Boeing North American, Inc."", ""Boeing North American"", ""Boeing North American, Inc."", ""Boeing North American"", ""Boeing North American, Inc."", ""Boeing North American, Inc."", ""Boeing North American, Inc."", ""Boeing North American, Inc."", ""Boeing North American, Inc."", ""Boeing North American, Inc."", ""Boeing North American, Inc."", ""Boeing North American, Inc."", ""Boeing North America Inc."", ""Boeing North American"", ""Boeing North American, Inc."", ""Boeing North American, Inc."", ""Boeing North American, Inc."", ""Boeing North American, Inc."", ""Boeing North American, Inc."", ""Boeing North American, Inc."", ""Boeing North American, Inc."", ""Boeing North American, Inc."", ""Boeing North American, Inc."", ""Boeing North American, Inc."", ""Boeing North American, Inc."", ""Boeing North American Inc."", ""Boeing North American, Inc."", ""Boeing North American, Inc."", ""Boeing North American, Inc."", ""Boeing North American, Inc."", ""Boeing North American, Inc."", ""Boeing North American, Inc."", ""Boeing Northamerican, Inc."", ""Boeing North American, Inc."", ""Boeing North American, Inc."", ""Boeing North American, Inc."", ""Boeing North American, Inc."", ""Boeing North American, Inc."", ""Boeing North American, Inc."", ""Boeing North American, Inc."", ""Boeing North American Inc."", ""Boeing North American, Inc."", ""Boeing North American, Inc."", ""Boeing North American, Inc."", ""Boeing North American, Inc."", ""Boeing North American, Inc."", ""Boeing North America, Inc."", ""Boeing North American, Inc."", ""Boeing North American, Inc."", ""Boeing North American, Inc."", ""Boeing North American, Inc."", ""Boeing North American, Inc."", ""Boeing North American, Inc."", ""Boeing North American, Inc."", ""Boeing North American, Inc."", ""Boeing North American, Inc."", ""Boeing North American, Inc."", ""Boeing North American, Inc."", ""Boeing North American, Inc."", ""Boeing North American, Inc."", ""Boeing North American, Inc."", ""Boeing North American, Inc."", ""Boeing North American, Inc."", ""Boeing North American, Inc."", ""Boeing North American, Inc."", ""Boeing North American, Inc."", ""Boeing North American, Inc."", ""Boeing North American, Inc."", ""Boeing North American, Inc."", ""Boeing North American, Inc."", ""Boeing North American, Inc."", ""Boeing North American, Inc."", ""Boeing North American, Inc."", ""Boeing Aerospace and Electronics"", ""Insitu Inc., a Subsidiary of The Boeing Company"", ""Insitu Inc., A Subsidiary of The Boeing Company"", ""Insitu Inc., a subsidiary of The Boeing Company"", ""INSITU, INC. A SUBSIDIARY OF THE BOEING COMPANY"", ""Insitu, Inc., (A subsidiary of The Boeing Company)"", ""Boeing Construction Equipment Company"", ""Boeing Construction Equipment Company"", ""Boeing Construction Equipment Company"", ""Boeing Construction Equipment Company"", ""Boeing Company"", ""Boeing Company"", ""Boeing Company"", ""Boeing Company"", ""Boeing Company"", ""Boeing Company"", ""Boeing Company"", ""Boeing Company, the"", ""Boeing Company"", ""Boeing Company"", ""Boeing Company"", ""Boeing Company"", ""Boeing Company"", ""Boeing Company"", ""Boeing Company"", ""Boeing Company"", ""Boeing Company"", ""Boeing Company"", ""Boeing Company"", ""Boeing Company"", ""Boeing Company, The"", ""BOEING COMPANY, THE"", ""Boeing Company"", ""Boeing Company"", ""Boeing Company"", ""Boeing Company"", ""Boeing Company"", ""Boeing, Inc."", ""Boeing Company"", ""Boeing Company"", ""Boeing Company"", ""Boeing Company"", ""Boeing Company"", ""Boeing"", ""Boeing Company"", ""BOEING COMPANY, THE"", ""Boeing Company"", ""Boeing Company"", ""Boeing Company"", ""Boeing Company"", ""Boeing Information Services, Inc."", ""Boeing Aerospace Co. (A Division of the Boeing Company)"", ""Boeing Aerospace Company"", ""Boeing Aerospace Company"", ""Boeing Aerospace Company"", ""Boeing Aerospace Company"", ""Boeing Aerospace Co."", ""Boeing Vertol Company"", ""Boeing Vertol Company"", ""Boeing Vertol Company"", ""Boeing Management Company"", ""Boeing Management Company""]"
3,CHECK,FIRST CHAR,US7504513-0.csv,Hoffman-La Roche Inc. is the assignee_organization which has mismatching first characters,"[""La Roche Posay Laboratoire"", ""F. Hoffmann-La Roche AG"", ""F. Hoffman-La Roche AG"", ""F. Hoffmann-La Roche AG"", ""F. Hoffman-La Roche AG"", ""F. Hoffman-La Roche AG"", ""F. Hoffman-La Roche AG"", ""F. Hoffmann-La Roche AG"", ""F. Hoffman-La Roche AG"", ""F. Hoffmann-La Roche AG"", ""F. Hoffmann-La Roche AG"", ""F. Hoffman-LaRoche Ltd."", ""F. Hoffmann-La Roche AG"", ""F. Hoffmann-La Roche AG"", ""F. Hoffmann-La Roche AG"", ""F. Hoffmann-La Roche AG"", ""F. Hoffmann la Roche AG"", ""F. HOFFMANN-LA ROCHE AG"", ""F. Hoffmann-La Roche AG"", ""F. Hoffmann-La Roche AG"", ""F. Hoffmann-La Roche AG"", ""F. Hoffmann-La Roche AG"", ""F. Hoffmann-la Roche AG"", ""F. Hoffman-LaRoche AG"", ""F. Hoffmann-La Roche AG"", ""F. Hoffmann-La Roche AG"", ""F. Hoffmann-La Roche AG"", ""F. Hoffmann-La Roche AG"", ""F. Hoffmann-La Roche AG"", ""F. Hoffmann-La Roche AG"", ""F. Hoffmann-La Roche"", ""F. Hoffmann-La Roche AG"", ""F. HOFFMANN-LA ROCHE AG"", ""F. Hoffmann-La Roche AG"", ""F. HOFFMANN-LA ROCHE AG"", ""F. HOFFMANN-LA ROCHE AG"", ""F. Hoffmann La Roche AG"", ""F. Hoffmann-La Roche AG"", ""F. HOFFMANN-LA ROCHE AG"", ""F. Hoffman-la Roche AG"", ""F. Hoffmann-La Roche AG"", ""F. HOFFMANN-LA ROCHE AG"", ""F. Hoffman-LaRoche AG"", ""F. Hoffmann-La Roche AG"", ""F. Hoffman-La Roche AG"", ""F. Hoffmann-La-Roche AG"", ""F. Hoffmann-La Roche AG"", ""F. Hoffman-La Roche AG"", ""F. HOFFMAN-LA ROCHE AG"", ""F. Hoffman-La Roche AG"", ""F. Hoffman-La Roche AG"", ""F. Hoffmann-La Roche AG"", ""F. Hoffmann-La Roche AG"", ""F. Hoffmann-La Roche AG"", ""F. Hoffmann-La Roche AG"", ""F. Hoffmann-La Roche AG"", ""F. Hoffmann LaRoche AG"", ""F. HOFFMANN-LA ROCHE AG"", ""F. Hoffmann-La Roche AG"", ""F. Hoffmann-La Roche AG"", ""F. Hoffmann-La Roche Inc."", ""F. Hoffmann-La Roche AG"", ""F. HOFFMAN-LA ROCHE AG"", ""F. Hoffman-La Roche Inc."", ""F. Hoffman La-Roche AG"", ""F. Hoffmann-La Roche AG"", ""F. Hoffmann-La Roche AG"", ""F. Hoffman-La Roche AG"", ""F. Hoffmann-La Roche AG"", ""F. HOFFMAN-LA ROCHE AG"", ""F. Hoffmann-La Roche AG"", ""F. Hoffmann-La Roche AG"", ""F. HOFFMANN-LA ROCHE AG"", ""F. HOFFMANN-LA ROCHE AG"", ""F. Hoffmann-La Roche AG"", ""F. Hoffmann-La Roche AG"", ""F. Hoffmann-La Roche AG"", ""F. Hoffman-La Roche AG"", ""F. Hoffmann-La Roche AG"", ""F. Hoffmann-La Roche AG"", ""F. Hoffmann-La Roche AG"", ""F. Hoffman-La Roche AG"", ""F. HOFFMANN-LA ROCHE AG"", ""F. Hoffmann-La Roche AG"", ""F. Hoffmann-La Roche AG"", ""F. Hoffmann-La Roche Inc."", ""F. Hoffmann-La Roche AG"", ""F. Hoffmann la Roche AG"", ""F. Hoffmann-La Roche AG"", ""F. Hoffmann-La Roche AG"", ""F. Hoffmann-La Roche AG"", ""F. Hoffman-La Roche AG"", ""F. Hoffmann-La Roche AG"", ""F. Hoffman-La Roche"", ""F. Hoffmann-La Roche AG"", ""F. Hoffman-La Roche AG"", ""F. Hoffmann-la Roche AG"", ""F. HOFFMANN-LA ROCHE AG"", ""F. Hoffmann-LaRoche AG"", ""F. Hoffmann - La Roche AG"", ""F. Hoffmann-La Roche AG"", ""F. Hoffmann-La Roche AG"", ""F. Hoffman La Roche AG"", ""F. Hoffman-La Roche AG"", ""F. Hoffmann-La Roche AG"", ""F. Hoffmann-La Roche AG"", ""F. Hoffmann-La Roche AG"", ""F. Hoffmann-La Roche AG"", ""F. Hoffmann-La Roche AG"", ""F. Hoffmann-La Roche AG"", ""F. HOFFMANN-LA ROCHE INC."", ""F. Hoffmann-La Roche Inc."", ""F. Hoffman-La Roche AG"", ""F. Hoffman-La Roche AG"", ""F. Hoffmann-LaRoche AG"", ""F. Hoffmann-La Roche AG"", ""F. Hoffmann-La Roche AG"", ""F. Hoffman-La Roche AG"", ""F. Hoffmann-La Roche"", ""F. Hoffman-La Roche AG"", ""F. Hoffmann-La Roche AG"", ""F. Hoffman-La Roche AG"", ""F. Hoffmann-La Roche AG"", ""F. Hoffmann-La Roche AG"", ""F. Hoffmann-La Roche AG"", ""F. Hoffmann-La Roche AG"", ""F. Hoffmann-La Roche AG"", ""F. Hoffmann-La Roche AG"", ""F. Hoffman-La Roche AG"", ""F. Hoffman-La Roche AG"", ""F. Hoffmann-La Roche AG"", ""F. HOFFMANN-LA ROCHE AG"", ""F. Hoffmann-La Roche AG"", ""F. Hoffman-La Roche AG"", ""F. Hoffmann-La Roche Inc."", ""F. Hoffmann-La Roche AG"", ""F. Hoffmann-La Roche AG"", ""F. HOFFMANN-LA ROCHE AG"", ""F. Hoffmann-La Roche AG"", ""F. Hoffmann-La Roche AG"", ""F. Hoffman-La Roche AG"", ""F. Hoffmann-La Roche, Inc."", ""F. Hoffman-La Roche AG"", ""F. Hoffmann-La Roche AG"", ""F. Hoffmann-La Roche AG"", ""F. Hoffman La Roche, Ltd."", ""F. Hoffmann-La Roche AG"", ""F. Hoffmann-La Roche AG"", ""F. Hoffmann-La Roche AG"", ""F. Hoffmann-La Roche AG"", ""F. Hoffman-La Roche AG"", ""F. Hoffmann-La Roche AG"", ""F. Hoffmann-La Roche AG"", ""F. Hoffmann-La Roche AG"", ""F. Hoffmann-La Roche AG"", ""P. Hoffmann-La Roche, Ltd."", ""LaRoche Industries, Inc."", ""LaRoche Industries, Inc."", ""LaRoche Industries, Inc."", ""LaRoche Industries, Inc."", ""La Roche Industries Inc."", ""LaRoche Industries Inc."", ""LaRoche Industries, Inc."", ""La Roche Industries, Inc."", ""LaRoche Industries, Inc."", ""LaRoche Industries Inc."", ""LaRoche Industries Inc."", ""LaRouche Industries Inc."", ""LaRoche Industries, Inc."", ""LaRoche Industries, Inc."", ""LaRoche Industries, Inc."", ""LaRoche Industries Inc"", ""LaRoche Industries, Inc."", ""LaRoche Industries Inc."", ""Laroche Industries, Inc."", ""LaRoche Industries, Inc."", ""LaRoche Industries, Inc."", ""LaRoche Industries Inc."", ""LaRoche Industries Inc."", ""LaRoche Industries Inc."", ""LaRoche Industries Inc."", ""Laroche Industries, Inc."", ""LaRoche Industries, Inc."", ""LaRoche Industries, Inc."", ""LaRoche Industries, Inc."", ""F. Hoffman-La Roche SA""]"
4,CHECK,FIRST CHAR,US6395545-0.csv,"Isis Pharmaceuticals, Inc. is the assignee_organization which has mismatching first characters","[""lonis Pharmaceuticals, Inc."", ""lonis Pharmaceuticals, Inc."", ""lonis Pharmaceuticals, Inc."", ""lonis Pharmaceuticals, Inc."", ""lonis Pharmaceuticals, Inc.""]"
5,CHECK,FIRST CHAR,US7318565-0.csv,"ITT Manufacturing Enterprises, Inc. is the assignee_organization which has mismatching first characters","[""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries, GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsch ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries, GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries, GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche Itt Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries, GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industreis GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche Itt Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries, GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries, GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsch ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries, GmbH"", ""Deutsche ITT Industries, GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries, GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries, GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries, GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Deutsche ITT Industries GmbH"", ""Detusche ITT Industries GmbH"", ""Etutsche ITT Industries GmbH""]"
6,CHECK,FIRST CHAR,US7452454-0.csv,Henkel KGaA is the assignee_organization which has mismatching first characters,"[""Kenkel Research Corporation"", ""The Henkel Corporation"", ""The Henkel Corporation"", ""Kenkel AG & Co. KGaA""]"
7,CHECK,FIRST CHAR,US6812051-1.csv,"Hitachi Cable, Ltd. is the assignee_organization which has mismatching first characters","[""501 Hitachi Metals, Ltd."", ""501 Hitachi Metals, Ltd."", ""501 Hitachi Metals, Ltd."", ""501 Hitachi Metals, Ltd."", ""501 Hitachi Metals Ltd."", ""501 Hitachi Metals, Ltd."", ""501 Hitachi Metals, Ltd.""]"
8,CHECK,FIRST CHAR,US7096282-0.csv,"Smiths Medical PM, Inc. is the assignee_organization which has mismatching first characters","[""Digitalsmiths Corporation"", ""Digitalsmiths, Inc."", ""Digital Smiths, Inc."", ""Digitalsmiths Corporation"", ""Digitalsmiths, Inc."", ""Digitalsmiths, Inc."", ""Digitalsmiths, Inc."", ""Digitalsmiths, Inc.""]"
9,CHECK,FIRST CHAR,US7218118-0.csv,Brunswick Corporation is the assignee_organization which has mismatching first characters,"[""Zebco Div. of Brunswick Corporation"", ""Zebco Div. of Brunswick Corporation"", ""Zebco Div. of Brunswick Corporation"", ""Zebco Div. of Brunswick Corporation"", ""Zebco Div. of Brunswick Corporation"", ""Zebco Div. of Brunswick Corporation"", ""Zebco Division of Brunswick Corp."", ""Zebco Division of Brunswick Corporation"", ""Zebco Division of Brunswick Corp."", ""Zebco Division of Brunswick Corporation"", ""Zebco Division of Brunswick Corporation"", ""Zebco Division of Brunswick Corporation"", ""Zebco Division of Brunswick Corporation"", ""Zebco Division of Brunswick Corporation"", ""Zebco Division of Brunswick Corporation"", ""Zebco Division of Brunswick Corporation"", ""Zebco Division of Brunswick Corporation"", ""Zebco Division of Brunswick Corporation"", ""ZEBCO division of Brunswick Corp"", ""Zebco Division of Brunswick Corporation"", ""Zebco Division of Brunswick Corporation"", ""Zebco Division of Brunswick Corporation"", ""Zebco division of Brunswick Corporation"", ""Zebco Division of Brunswick Corporation"", ""Zebco Division of Brunswick Corp."", ""Zebco Division of Brunswick Corp."", ""Zebco Division of Brunswick Corporation"", ""Zebco Division of Brunswick Corporation"", ""Zebco Division of Brunswick Corporation"", ""Zebco Division of Brunswick Corporation"", ""Zebco Division of Brunswick Corporation"", ""Zebco Division of Brunswick Corporation"", ""Zebco Division of Brunswick Corporation"", ""Zebco Division of Brunswick Corporation"", ""Zebco Division of Brunswick Corporation"", ""Zebco Division of Brunswick Corporation"", ""Zebco Division of Brunswick Corporation""]"
